type,time,longitude,latitude,altitude (ft)
,12/1/15 21:55,-86.80614294,36.143708,190
,12/1/15 21:55,-86.80611659,36.1437133,192
,12/1/15 21:55,-86.806105,36.143718,192
,12/1/15 21:55,-86.80608243,36.1437358,195
,12/1/15 21:55,-86.80607296,36.1437444,196
,12/1/15 21:55,-86.80607732,36.1437531,196
,12/1/15 21:55,-86.80607062,36.143745,195
,12/1/15 21:55,-86.80600244,36.1437409,194
,12/1/15 21:56,-86.80592564,36.1436465,203
,12/1/15 21:56,-86.8058989,36.1435944,203
,12/1/15 21:56,-86.80583293,36.1434833,199
,12/1/15 21:56,-86.80582746,36.1434718,198
,12/1/15 21:56,-86.8058457,36.143416,193
,12/1/15 21:56,-86.80583194,36.1433789,193
,12/1/15 21:56,-86.80577082,36.1433304,193
,12/1/15 21:56,-86.80578148,36.1433538,192
,12/1/15 21:56,-86.80577025,36.1432801,192
,12/1/15 21:56,-86.80571812,36.1431663,190
,12/1/15 21:56,-86.80567574,36.1431791,192
,12/1/15 21:56,-86.80563043,36.1432292,193
,12/1/15 21:57,-86.80560941,36.1432193,196
,12/1/15 21:57,-86.80557992,36.1431674,195
,12/1/15 21:57,-86.80557234,36.1431385,194
,12/1/15 21:57,-86.80556842,36.1431294,194
,12/1/15 21:57,-86.80547556,36.1433053,205
,12/1/15 21:57,-86.80547157,36.1433399,205
,12/1/15 21:57,-86.80546796,36.1433715,203
,12/1/15 21:57,-86.80548059,36.1433882,206
,12/1/15 21:58,-86.80525898,36.1430904,203
,12/1/15 21:58,-86.80569057,36.1431738,201
,12/1/15 21:58,-86.80571981,36.1431702,201
,12/1/15 21:58,-86.80575139,36.1431629,200
,12/1/15 21:58,-86.80576292,36.1431659,200
,12/1/15 21:58,-86.80576546,36.1431136,197
,12/1/15 21:58,-86.80552708,36.1434119,211
,12/1/15 21:58,-86.80543591,36.1435169,217
,12/1/15 21:58,-86.80535562,36.1436502,218
,12/1/15 21:58,-86.80537797,36.1437008,228
,12/1/15 21:59,-86.80539193,36.1437017,230
,12/1/15 21:59,-86.80539499,36.1436524,231
,12/1/15 21:59,-86.80540126,36.1436031,232
,12/1/15 21:59,-86.80537578,36.1436081,231
,12/1/15 21:59,-86.80536807,36.1436051,231
,12/1/15 21:59,-86.80534174,36.1435988,235
,12/1/15 21:59,-86.80530806,36.1436885,235
,12/1/15 21:59,-86.80528932,36.1437234,232
,12/1/15 21:59,-86.80528618,36.1437654,230
,12/1/15 21:59,-86.80533484,36.1437838,229
,12/1/15 21:59,-86.80548084,36.1437867,228
,12/1/15 22:00,-86.80549997,36.143806,229
,12/1/15 22:00,-86.80557537,36.1438519,230
,12/1/15 22:00,-86.80558196,36.1438438,230
,12/1/15 22:00,-86.80559319,36.1438145,230
,12/1/15 22:00,-86.80564197,36.1438602,225
,12/1/15 22:00,-86.80562827,36.1438612,224
,12/1/15 22:00,-86.80560779,36.1438147,224
,12/1/15 22:00,-86.80555043,36.1438155,222
,12/1/15 22:00,-86.80560059,36.1438653,221
,12/1/15 22:01,-86.80567347,36.1438813,220
,12/1/15 22:01,-86.8056275,36.1437875,220
,12/1/15 22:01,-86.80566327,36.1436931,220
,12/1/15 22:01,-86.80556284,36.1436514,219
,12/1/15 22:01,-86.80550675,36.1436486,219
,12/1/15 22:01,-86.80540233,36.143658,218
,12/1/15 22:01,-86.80538964,36.1436603,218
,12/1/15 22:02,-86.8055188,36.1434732,185
,12/1/15 22:02,-86.80544422,36.1434261,185
,12/1/15 22:02,-86.80542073,36.143423,185
,12/1/15 22:03,-86.80540865,36.143423,185
